Year,"Embodied carbon
emission of
Enterprise Network
(Mt CO2e)","WLAN Access 
Points
Shipments
(Millions)","Switches/Routers 
Ports
Shipments
(Millions)","Enterprise 
Small Cells
Shipments
(Millions)"
2000,,0.37224067,31.48745697,0.400953
2001,,0.90541219,35.72687364,0.438954
2002,,1.48909336,40.3679087,0.480555
2003,,2.12811067,45.448939,0.5261
2004,,2.82768345,51.01146511,0.575961
2005,,3.59356417,57.10122691,0.630548
2006,,4.43202447,63.76809201,0.690308
2007,1.5,5.3499533,71.06683669,0.755732
2008,,6.35487098,79.05725747,0.827356
2009,,7.45504145,87.80506358,0.905769
2010,,8.65947228,97.38187695,0.991613
2011,3.5,9.97805492,107.8663479,1.085593
2012,,11.42162091,119.3446012,1.188481
2013,,13.2,131.9105709,1.301119
2014,,14.73212201,145.6674507,1.424432
2015,,14.38932981,142.9418006,1.4
2016,,19.38142366,182.63553,1.755804
2017,,22.05262685,203.875118,1.94619
2018,,25.01131417,227.4005839,2.157066
2019,,25,235.3140278,2.228
2020,3,30,250,2.455
2021,,31.8291918,292.25,2.643
2022,,35.29471546,309.1671854,2.89
2023,,43.36223006,373.3145654,3.465
2024,,46.37877899,397.3001075,3.68
2025,,48.20273882,411.8029934,3.81
2026,,49.32517563,420.7278463,3.89
2027,,64.43027387,486.1418027,4.57912678
2028,,66.59579176,603.9127508,5.12266035
2029,,75.16378208,634.7175118,5.7303415
2030,,81.65833447,677.0679808,6.21254141
2031,,89.55678104,674.4867742,6.31173772
2032,,90.99879498,748.155023,6.60839482
2033,,106.1973914,868.9342686,7.48860652
2034,,132.1013333,1032.902008,9.08887639
2035,,128.8959504,1161.751243,9.75983028
