Year,"Use stage carbon
emission of
Enterprise Network
(Mt CO2e)","Enterprise Network
Electricity Usage 
(TWh)","WLAN Access 
Points
Installed base
(Millions)","Switches/Routers 
Ports
Installed base
(Millions)","Enterprise 
Small Cells
Installed base
(Millions)"
2000,,,40.81543,217.480809,1.519566
2001,,,43.559894,238.12884,1.709758
2002,,,46.488898,260.737233,1.923755
2003,,,49.61485,285.492109,2.164537
2004,,,52.950994,312.597259,2.435455
2005,,,56.511464,342.275822,2.740282
2006,,,60.311342,374.772122,3.083261
2007,15.5,29,64.366728,410.353681,3.469169
2008,,,68.694801,449.31342,3.903377
2009,,,73.313897,491.972068,4.391932
2010,,,78.243585,538.680807,4.941636
2011,6,11,83.50475,589.824161,5.560142
2012,,,89.119679,645.823159,6.256061
2013,,,95.112162,707.138806,7.039083
2014,,,101.507583,774.275874,7.92011
2015,,,108.333039,847.78706,8.911408
2016,,,115.617443,928.277533,10.026779
2017,,,123.391658,1016.409921,11.281752
2018,,,131.688617,1112.909762,12.693801
2019,,,140.54347,1218.571476,14.282584
2020,13,25,150,1300,10
2021,,,160,1500,18.8526194
2022,,,171,1579.879812,21.3237299
2023,,,182.5,1883.19621,27.07631506
2024,,,194.5,1996.610168,29.22728169
2025,,,207.5,2065.186049,30.52786616
2026,,,221.5,2107.386592,38.3
2027,,,236.5,2416.691908,38.2225919
2028,,,252.5,2973.563596,43.66037129
2029,,,269.5,3119.221753,49.73991488
2030,,,287.5,3319.472983,54.56408192
2031,,,307,3307.267928,55.556491
2032,,,327.5,3655.603089,58.52439575
2033,,,349.5,4226.699301,67.33047012
2034,,,373,5002.009285,83.34036353
2035,,,398,5611.263878,90.05291899
