Year,"Embodied carbon
emission of Data center
(Mt CO2e)","Use stage carbon
emission of Data center
(Mt CO2e)","Data Center
Carbon footprint
(Mt CO2e)"
2000,,,95.966529
2001,,,97.075784
2002,28,58,76
2003,,,102.155489
2004,,,105.495085
2005,,,109.142387
2006,,,113.0888
2007,,,116.2
2008,,,163.978532
2009,,,124.567619
2010,,,133.941532
2011,13.17,142.2,160
2012,,,185.177114
2013,,,169.286766
2014,,,176.50638
2015,20,145,165
2016,,,189.107396
2017,,,192.952194
2018,,,129
2019,,,131.864775
2020,30,95,125
2021,,,113.038473
2022,,,121.299298
2023,,,152.175472
2024,,,168.273626
2025,,,187.90594
2026,,,210.111299
2027,,,236.478971
2028,,,268.775099
2029,,,306.996393
2030,,,350.879741
2031,,,379.5393039
2032,,,392.0254979
2033,,,389.9495288
2034,,,390.080249
2035,,,385.5529548
