Year,"Embodied carbon
emission of ICT Devices
(Mt CO2e)","Laptop shipments
worldwide (Millions)","Emissions per 
laptop
(kg CO2 e/yr)","PC shipments
worldwide (Millions)","Emissions per 
PC
(kg CO2 e/yr)","Mobile Phone shipments 
Global (Millions)","Emissions per 
Smartphone
(kg CO2 e/yr)","Tablets shipments 
Global (Millions)","Emissions per 
Tablet
(kg CO2 e/yr)"
2000,,78.69004,253.357227,255.651535,788.844221,168.701005,65.989935,81.52364,124.913728
2001,,84.970648,255.325767,248.985903,788.841729,187.763344,66.055624,83.797643,124.731828
2002,33,91.752541,258.920899,242.246054,788.836398,208.979629,66.040707,86.135077,124.189902
2003,,99.075728,264.751605,237.054429,788.832347,232.593244,65.707053,88.537711,122.79576
2004,,106.983411,273.046619,235.370401,788.862496,258.875075,64.641446,91.007363,119.737517
2005,,115.522242,283.165768,239.097541,789.057822,288.126617,62.40234,93.545903,114.126165
2006,,124.742596,293.338207,239.21,789.798737,320.683432,58.896718,96.155253,105.745522
2007,,134.698868,301.251707,272.45,791.954387,356.918998,54.740072,98.837387,95.95671
2008,,145.449795,305.823796,290.8,797.108967,397.248995,51.159705,101.594337,87.787094
2009,,157.058803,350,308.34,851,173.5,55,104.428188,84.956278
2010,,169.594378,330,350.9,887,304.7,45,19,91.003909
2011,160.6,176,332.38,365.36,924,494.5,32.9,76,97.5
2012,,195.777778,340,351.06,814,725.3,75,145,130
2013,,215.555556,360,316.46,960,1018.7,65,219.9,210
2014,,235.333333,480,313.68,851,1301.7,95,230.1,170
2015,195,255.111111,480,287.68,1033,1437.2,54,208,270
2016,,274.888889,430,269.72,778,1473.4,56,174.9,146
2017,,294.666667,302,262.68,887,1465.5,79,163.8,152
2018,,314.444444,176,259.76,741,1404.9,92,146.2,102
2019,,334.222222,176,262.55,778,1372.6,96,144.1,158
2020,208,354,200,309.08,449,1281.2,85,149.6,178
2021,,383.4041516,349,341.73,704,1354.8,81,171,131
2022,,418.9255011,147,284.05,924,1205.5,80,161.61,156
2023,,459.3141076,139,241.89,668,1166.9,87,142.3,125
2024,,502.6267496,170,334.9658542,777.551207,918.8296904,83.269745,142.7,107
2025,,546.5159816,255.401065,303.7052557,775.21818,773.7228414,84.486213,143.4,155.581369
2026,,588.7046227,252.738496,280.4114077,772.885153,679.5320086,85.70268,143.6,157.3078
2027,,627.6975265,250.075927,298.4644119,770.552126,604.4786455,86.919148,135.9,159.03423
2028,,663.7962899,247.413358,301.7541794,768.219099,543.8305246,88.135615,135.8,160.76066
2029,,704.031818,244.750788,288.7525881,765.886072,526.5971294,89.352083,158.0213711,162.48709
2030,,753.7039403,242.088219,297.4566249,763.553045,513.7886066,90.56855,158.9659981,164.213521
2031,,816.5316405,239.42565,304.3333505,761.220017,512.0988477,91.785018,156.1084072,165.939951
2032,,893.341119,236.763081,286.8380708,758.88699,517.5173075,93.001486,153.9193557,167.666381
2033,,981.3868289,234.100512,281.3278419,756.553963,540.8575117,94.217953,154.3641762,169.392811
2034,,1074.695844,231.437943,299.6328433,754.220936,571.2881652,95.434421,153.8994896,171.119242
2035,,1165.734718,228.775374,303.1359045,751.887909,618.1418901,96.650888,152.7723384,172.845672
