Year,"Use stage carbon
emission of ICT Devices
(Mt CO2e)","Laptops worldwide 
installed base
(in millions)","Laptop
Energy demand
yearly TEC (kWh)","Desktop PCs worldwide 
installed base
(in millions)","Desktop PC
Energy demand
yearly TEC (kWh)","Smartphones worldwide 
installed base
(in millions)","Smartphone
Energy demand
yearly TEC (kWh)","Tablets worldwide 
installed base
(in millions)","Tablet
Energy demand
yearly TEC (kWh)"
2000,,281.603925,20.814829,580.815999,223.320438,62.336475,3.801154,15.405794,13.393554
2001,,307.620789,21.043567,598.8077,223.316241,77.403497,3.732807,18.332516,13.503349
2002,270,333.637654,21.453617,617.356722,223.305475,96.112291,3.60185,21.815243,13.614044
2003,,359.654519,22.10245,636.48033,223.283886,119.343088,3.388189,25.959602,13.725646
2004,,385.671383,22.991082,656.196322,223.257446,148.18888,3.096927,30.891288,13.838163
2005,,411.688248,23.99973,639.355,223.277547,184.006836,2.77219,36.759873,13.951602
2006,,437.705113,24.849015,685.619,223.518911,228.482164,2.485894,43.743345,14.065971
2007,,463.721977,25.166719,727.826,224.399458,283.707389,2.306947,52.053504,14.181278
2008,,489.738842,24.699925,769.155,226.68543,237,2.277172,61.94239,14.29753
2009,,515.755707,25.75,789.861,248.2,304,2.1,73.70992,14.414735
2010,,541.772571,20.28,812.472,262.8,431,2.59,87.712991,14.5329
2011,209.3,689,22.31,823.51,277.4,687,5.45,70,15.6
2012,,593.806301,14.19,837.174,233.6,1031,2.63,114.132124,12.65
2013,,664.14,21.9,854.858,292,1457,2.85,159.839378,16.01
2014,,628.31,34.88,874.692,248.2,1850,3.3,205.546632,11.81
2015,205,589.23,18.25,896.053,321.2,2222,3.13,251.253886,18.86
2016,,577,16.79,865.41332,219,2562,3.58,296.96114,13.43
2017,,621,22.1,779.14506,262.8,2890,3.33,342.668394,16
2018,,796.1,17.98,566.52492,204.4,3353.112285,4.84,388.375648,27
2019,,781,16.78,552,219,4402,7,424,13.79
2020,228,796,20.59,522,87.6,4287,8,479,14.26
2021,,866,17.7,495,189.8,4328,8,535,13.39
2022,,929,22.26,470,277.4,4452,7,571,13.79
2023,,879.683616,26.97,679.888665,175.2,4259.943371,8,619.4450689,15.33
2024,,905.674798,16.63,678.392737,219.199918,4485.617301,6.284063,671.0718306,19.44
2025,,931.66598,20.266942,676.896809,218.292695,4711.291231,6.455911,722.8129595,16.846755
2026,,957.657161,20.156765,675.400881,217.385472,4936.965161,6.627759,777.0604034,16.989186
2027,,983.648343,20.046589,673.904953,216.47825,5162.639091,6.799606,833.4623957,17.131617
2028,,1009.639525,19.936412,672.409025,215.571027,5388.31302,6.971454,892.2524195,17.274048
2029,,1035.630706,19.826235,670.913098,214.663804,5613.98695,7.143302,953.6667657,17.416479
2030,,1061.621888,19.716059,669.41717,213.756582,5839.66088,7.31515,1017.305002,17.55891
2031,,1087.61307,19.605882,667.921242,212.849359,6065.33481,7.486998,1083.410478,17.701341
2032,,1113.604251,19.495706,666.425314,211.942136,6291.00874,7.658846,1152.130298,17.843772
2033,,1139.595433,19.385529,664.929386,211.034914,6516.68267,7.830694,1223.476768,17.986203
2034,,1165.586615,19.275353,663.433458,210.127691,6742.3566,8.002542,1297.547093,18.128635
2035,,1191.577796,19.165176,661.937531,209.220468,6968.030529,8.17439,1374.442473,18.271066
